"join_ip_country","customer_id","price_first_item_purchased","join_pages_visited","prediction(revenue)","Age group","Gender","Campaign"
"United Kingdom","b933d18617a",57.0,6.0,182.55518427372814,"adult","Female","true"
"United States","35e3336beea",22.0,5.0,160.16306155361647,"senior citizen","Male","false"
"Netherlands","42fe2500a8a",28.0,4.0,176.14310181623972,"middle age","Female","false"
"China","0934bcadf9a",28.0,3.0,92.2567000147458,"middle age","Male","false"
"United Kingdom","bb79ad1f93a",15.5,2.0,142.42664114617747,"adult","Female","false"
"Poland","b2b037b051a",15.5,4.0,99.17024199776799,"middle age","Female","true"
"Sweden","1b403a1386a",15.5,6.0,142.18622678116154,"senior citizen","Female","false"
"United States","1d34e00a30a",15.5,1.0,156.48707825548567,"middle age","Female","true"
"China","7756728aafa",22.0,3.0,96.12660671305744,"adult","Male","false"
"United States","e24891c048a",44.0,3.0,170.99932424942392,"young adult","Female","false"
"China","1ff6b0f600a",44.0,7.0,117.0649228408252,"adult","Female","false"
"United Kingdom","78d1f62f49a",22.0,8.0,174.55879487875956,"adult","Female","false"
"France","891743b304a",15.5,5.0,182.19887885454955,"adult","Male","false"
"United States","7fb3c0a173a",10.0,5.0,177.17050012668793,"adult","Male","false"
"Netherlands","57e7857d84a",15.5,3.0,169.56306083765878,"senior citizen","Male","false"
"China","20c827bb9ea",22.0,6.0,96.37668695451873,"young adult","Female","false"
"Argentina","be54ceedbaa",15.5,5.0,133.22396249555695,"senior citizen","Female","false"
"Costa Rica","8b15bb5c09a",44.0,5.0,131.33797199847527,"young adult","Female","false"
"Republic of Korea","2c5b2d985da",28.0,6.0,144.50102477181176,"senior citizen","Female","true"
"China","25df79e7afa",10.0,3.0,91.46192717952246,"middle age","Female","false"
"United States","24f20e2336a",10.0,5.0,154.23945743038087,"adult","Female","true"
"China","8af3f779a1a",42.0,5.0,112.35360799673171,"young adult","Male","false"
"United States","42f94763afa",22.0,7.0,159.65135269492916,"middle age","Female","true"
"United Kingdom","9d01cc0368a",22.0,8.0,165.01750398496628,"middle age","Female","false"
"China","7db3cce7a6a",57.0,3.0,135.59128736024397,"adult","Female","false"
"United States","83bafd5ffba",44.0,7.0,179.3934061224802,"senior citizen","Female","true"
"United States","83bafd5ffba",15.5,7.0,152.39514016928388,"senior citizen","Female","true"
"Japan","ea243bc032a",44.0,11.0,153.630161531579,"senior citizen","Female","true"
"Republic of Korea","a4cd639849a",57.0,12.0,176.8705963084009,"senior citizen","Female","false"
"Colombia","63a0889b2ea",44.0,3.0,117.9063036328543,"young adult","Female","false"
"Spain","f1385e380fa",42.0,8.0,180.2767374313988,"middle age","Female","false"
"Argentina","4cc39bbf01a",15.5,5.0,114.94983130027248,"young adult","Female","false"
"Belgium","8d62d83c24a",15.5,6.0,135.6870305365465,"senior citizen","Male","false"
"China","6a31ac98a4a",44.0,5.0,94.82686188746652,"young adult","Female","true"
"France","3294cd54c4a",22.0,4.0,139.99449457348277,"adult","Female","true"
"Mexico","55f3a1b57aa",42.0,6.0,119.86143449767377,"senior citizen","Male","false"
"China","a4b3f6a09aa",22.0,6.0,82.08669408693214,"senior citizen","Female","false"
"China","701613140a",10.0,9.0,106.24307228018148,"senior citizen","Female","false"
"China","aa73211e53a",44.0,5.0,146.07216637753052,"senior citizen","Male","false"
"United States","843374ecbda",28.0,4.0,148.61971005256427,"young adult","Male","true"
"Netherlands","7ee0eea1baa",42.0,3.0,166.22793144413612,"senior citizen","Male","false"
"United States","47058453eea",22.0,3.0,160.39773960996484,"middle age","Female","true"
"United Kingdom","9eef4476b7a",42.0,6.0,158.4913489373795,"adult","Male","true"
"Taiwan","6e04453861a",15.5,8.0,138.62745215303963,"adult","Male","true"
"United States","84afdcf507a",15.5,4.0,172.9797851316967,"adult","Female","false"
"Poland","169b7df204a",15.5,8.0,97.73767367716982,"senior citizen","Female","true"
"Brazil","f66a75b3d7a",44.0,5.0,103.83389894318083,"senior citizen","Female","true"
"United Kingdom","23ea1441dca",22.0,5.0,140.57142884022457,"middle age","Female","true"
"Brazil","d6deae447ca",42.0,8.0,122.62948380409497,"middle age","Female","false"
"China","9cbdf1dfbfa",44.0,4.0,135.55673256178392,"senior citizen","Female","false"
"United States","a2daa91524a",15.5,11.0,152.80074573966155,"senior citizen","Male","false"
"Poland","3e9ad334b6a",44.0,4.0,169.70998804880128,"adult","Male","false"
"United States","95f57cf97ea",10.0,2.0,160.08951056894904,"adult","Female","false"
"Republic of Korea","2b2f98833ca",42.0,5.0,168.71729365226523,"young adult","Female","false"
"United States","fc32b5266aa",22.0,7.0,181.36739948422155,"middle age","Female","false"
"Egypt","93c3a31f8aa",44.0,5.0,96.3714174781,"senior citizen","Female","false"
"Italy","3d8f3ce6dea",22.0,6.0,129.37051729482872,"adult","Female","true"
"South Africa","68af0e1cfba",28.0,5.0,94.82426490059882,"middle age","Male","true"
"Singapore","0cb971b1f9a",22.0,5.0,166.26121636445743,"senior citizen","Female","true"
"China","2f438f29dea",28.0,7.0,113.58320870342263,"adult","Male","false"
"Libya","dcc975f16aa",44.0,7.0,135.87187767045637,"adult","Male","false"
"China","b5f5ef7f06a",28.0,6.0,110.29323056591366,"adult","Female","false"
"United States","2fa72c67d0a",22.0,6.0,160.23145501091125,"middle age","Female","true"
"Brazil","ab680f9d0da",28.0,2.0,95.08697464451208,"adult","Female","false"
"Pakistan","8d1060d22da",44.0,4.0,121.94519217134751,"senior citizen","Male","false"
"Ecuador","f96cb392cca",28.0,3.0,86.61912129467441,"adult","Female","true"
"China","01495a3725a",44.0,6.0,99.2467260996458,"adult","Female","true"
"United States","0dcdf0a962a",42.0,8.0,174.02098254788797,"senior citizen","Female","true"
"United States","35967dc7f5a",10.0,8.0,150.22850410133708,"senior citizen","Female","false"
"China","e3c3497f6da",44.0,5.0,123.99892505350755,"adult","Female","false"
"Japan","cc64f59fbda",42.0,2.0,157.85230232215392,"middle age","Male","true"
"Italy","414cea980aa",44.0,5.0,154.15872236824185,"senior citizen","Female","false"
"Germany","e4ee386169a",22.0,10.0,145.7756665281369,"adult","Female","true"
"Japan","a861e7a4bba",15.5,12.0,132.76020579804802,"middle age","Female","true"
"United States","e9e775dab9a",42.0,9.0,180.4216138499496,"middle age","Female","true"
"Australia","42381864ada",22.0,3.0,149.22302641199147,"senior citizen","Female","false"
"Canada","f043a5237ba",44.0,6.0,171.16707242867398,"senior citizen","Female","false"
"Republic of Korea","232b2b6919a",15.5,10.0,154.35690047296654,"adult","Female","false"
"China","ed396694ffa",10.0,4.0,101.40321922155587,"middle age","Male","false"
"China","21bd57014da",78.0,8.0,143.80924747069113,"young adult","Male","true"
"Georgia","8271b79c7fa",15.5,5.0,80.50700528075157,"middle age","Female","false"
"Denmark","960da3990ca",28.0,2.0,143.55363812265435,"middle age","Female","false"
"Ireland","466784c93ea",15.5,5.0,139.3220461314894,"senior citizen","Male","false"
"Brazil","aecf4bd4d1a",22.0,6.0,109.56739828039318,"adult","Female","false"
"India","0a73eadeaea",15.5,7.0,81.43310452805747,"middle age","Female","false"
"United States","686b4bbe8da",15.5,5.0,154.27407698450727,"middle age","Female","true"
"Brazil","4eb2501019a",42.0,1.0,102.7869508036006,"young adult","Female","true"
"China","f216d149bca",15.5,5.0,99.15258098459887,"middle age","Male","false"
"China","7002737c20a",44.0,5.0,114.57207354719287,"young adult","Male","false"
"United Kingdom","e8b485aa95a",44.0,6.0,163.77073744874122,"senior citizen","Female","false"
"United States","bb91a58caba",10.0,4.0,154.64513702764535,"adult","Female","true"
"United States","fc2f1d0f3fa",44.0,1.0,146.15079293985292,"middle age","Female","false"
"Germany","d94506195fa",22.0,9.0,144.12788054320026,"senior citizen","Female","false"
"Spain","b8fe249939a",15.5,3.0,146.16551577552556,"adult","Female","false"
"Germany","4e55458fb4a",28.0,5.0,152.58290517567954,"adult","Female","true"
"Romania","f2ee5494d4a",57.0,5.0,171.7937970021674,"senior citizen","Female","false"
"Finland","1d4499bf39a",15.5,3.0,150.84199752336363,"middle age","Female","false"
"Argentina","3428498b9fa",44.0,5.0,126.08326339027312,"young adult","Female","false"
"United States","3f8606c770a",28.0,8.0,163.7079898825972,"senior citizen","Female","true"
"China","b73d531687a",22.0,10.0,115.36997008242648,"middle age","Male","false"
"Taiwan","8d8b384a47a",28.0,6.0,176.96905772736494,"adult","Male","false"
"Australia","16e75718c3a",42.0,1.0,175.03634503343247,"adult","Female","true"
"United States","27d840b06aa",22.0,1.0,154.3572007647495,"young adult","Female","true"
"Netherlands","db79417429a",42.0,7.0,157.53030728071263,"senior citizen","Male","true"
"China","9025bb3fa1a",10.0,4.0,90.36870740678413,"adult","Female","false"
"France","b8c5cfa8d3a",57.0,4.0,178.8058585108521,"senior citizen","Female","false"
"United Kingdom","a5098a3b8ea",15.5,3.0,148.40710469427796,"middle age","Female","false"
"United Kingdom","fefcf9d537a",42.0,5.0,163.0942734995258,"adult","Female","true"
"Japan","009df341f1a",15.5,6.0,133.27365544822987,"middle age","Female","true"
"China","b8a5591b7ca",44.0,13.0,101.29313233891415,"senior citizen","Female","false"
"China","f4f6f27421a",44.0,5.0,120.48170559055254,"middle age","Female","false"
"United States","0fe3bed0d0a",15.5,3.0,142.19128762014037,"young adult","Male","false"
"India","20b30a7c6ca",42.0,3.0,96.40482391077757,"middle age","Female","false"
"China","98dd9f5871a",44.0,10.0,118.00708767763945,"middle age","Male","false"
"South Africa","eea014a766a",22.0,6.0,107.01215084214431,"adult","Male","false"
"Brazil","afa141c802a",28.0,12.0,127.86690155088772,"senior citizen","Female","false"
"United Kingdom","30d2e95590a",28.0,4.0,147.43360977064864,"adult","Female","true"
"Brazil","c436a5020aa",15.5,6.0,105.60247858444308,"adult","Female","false"
"Italy","7098272de6a",10.0,4.0,149.78216064573922,"adult","Female","false"
"Germany","9695b52498a",28.0,4.0,148.4556439235056,"middle age","Female","true"
"Brazil","e8719f4ab4a",22.0,6.0,100.89211169870177,"adult","Female","false"
"Canada","03dd963600a",42.0,10.0,169.90381824192315,"senior citizen","Male","false"
"China","4b0cec6609a",44.0,7.0,101.5432248983137,"senior citizen","Male","true"
"United States","4aa10b282ea",15.5,5.0,151.4992022276067,"senior citizen","Female","true"
"United States","9206d3906fa",28.0,5.0,166.70484918999801,"senior citizen","Female","false"
"United States","a4b910a3fca",22.0,6.0,166.92358897847217,"adult","Female","true"
"Germany","a16e85c2eea",22.0,9.0,162.4237220637888,"adult","Female","false"
"China","bfd819f88aa",15.5,9.0,78.2696608231135,"middle age","Male","true"
"China","d515161061a",22.0,4.0,78.68999790834107,"adult","Female","true"
"China","b5fcdf1f87a",15.5,6.0,78.89281847795132,"senior citizen","Male","false"
"United States","7d842eeab8a",22.0,6.0,164.42615642966578,"adult","Female","true"
"United Kingdom","0f970954a1a",10.0,5.0,150.0993072273067,"middle age","Female","false"
"China","04aa01ada8a",22.0,9.0,82.55147080772193,"senior citizen","Male","false"
"China","f156f20d66a",42.0,5.0,115.655182645396,"adult","Female","false"
"United States","fdacfdc915a",15.5,4.0,149.21600016913226,"middle age","Male","true"
"United States","92d6344b13a",10.0,4.0,145.0788960894638,"middle age","Male","true"
"Brazil","42c5afff78a",10.0,3.0,81.47017369101107,"adult","Female","false"
"Finland","932220f8f5a",15.5,6.0,181.771876174611,"adult","Male","false"
"Spain","36c99c714fa",22.0,5.0,157.60616791338867,"adult","Female","false"
"Ukraine","978172fccea",44.0,6.0,111.46288707000059,"middle age","Female","false"
"United States","b83d74913ba",28.0,6.0,162.58188342710363,"middle age","Male","true"
"France","69bf827f30a",15.5,7.0,132.83366644165727,"middle age","Female","true"
"Japan","7360172dc1a",57.0,5.0,177.38187999302556,"middle age","Female","true"
"Republic of Korea","d0318b1a73a",15.5,6.0,167.71450273989714,"adult","Female","false"
"China","521a302b38a",15.5,5.0,72.46893907983085,"senior citizen","Female","true"
"United Kingdom","9a876248d7a",15.5,5.0,165.90763096706866,"adult","Male","false"
"United States","8dec06db25a",22.0,9.0,159.14138940605605,"senior citizen","Female","false"
"India","23dac20b15a",15.5,9.0,83.28258097491909,"middle age","Male","false"
"China","1d2e07f9f0a",78.0,3.0,174.2840128066718,"adult","Female","false"
"China","01df615589a",28.0,6.0,81.57945314583714,"senior citizen","Female","true"
"China","01df615589a",28.0,6.0,87.38482918787628,"senior citizen","Male","true"
"Mexico","43cbc03359a",10.0,5.0,91.12547072777457,"senior citizen","Male","false"
"China","37db0b4d98a",15.5,12.0,95.74355253229854,"adult","Male","false"
"Sweden","b1e79055dea",28.0,6.0,150.6880751637617,"senior citizen","Male","false"
"Japan","3c8848fb74a",44.0,3.0,163.07259206631102,"middle age","Female","true"
"United States","93fccfcc7da",28.0,6.0,166.19731919493154,"senior citizen","Female","false"
"Egypt","8610682cf8a",10.0,7.0,90.94722350941674,"middle age","Female","false"
"United States","171bd051f3a",28.0,4.0,166.94039973748355,"senior citizen","Female","false"
"United States","591003f7cea",22.0,3.0,131.65416178487615,"teenager","Female","true"
"United States","591003f7cea",44.0,3.0,145.85867893879745,"teenager","Female","true"
"Georgia","e11bed58ffa",28.0,6.0,101.55720389330128,"adult","Female","false"
"Russia","c8803a5d9da",10.0,8.0,88.48970218696991,"adult","Female","true"
"Republic of Korea","4d5fbdba04a",57.0,5.0,180.40744817130724,"senior citizen","Female","false"
"United States","51d8d73379a",15.5,5.0,175.42597488712207,"young adult","Female","false"
"Malaysia","ca8a63e93ea",42.0,6.0,135.97855904916798,"young adult","Female","false"
"Australia","3e6567f29ea",10.0,6.0,170.5601473606385,"middle age","Male","false"
"China","253bb86165a",10.0,13.0,69.49419586915019,"middle age","Female","true"
"United States","30f607dcaba",28.0,2.0,173.8974673537912,"middle age","Female","false"
"Mexico","79ed9c5c2da",44.0,4.0,116.66459383013532,"senior citizen","Male","true"
"Canada","94a57fd581a",42.0,7.0,166.95277898075506,"middle age","Female","true"
"Sweden","fda17948a4a",15.5,11.0,142.6348702974913,"adult","Female","true"
"China","e547a3e304a",102.0,7.0,173.21263175187144,"middle age","Female","true"
"Egypt","a2f90fc848a",15.5,3.0,75.61744224478582,"adult","Female","false"
"United Kingdom","919de8c520a",22.0,12.0,140.65509057313835,"senior citizen","Female","false"
"Japan","52bd364caea",22.0,7.0,178.4909399782504,"adult","Female","false"
"Belgium","c3ad100329a",15.5,5.0,161.8260340571732,"middle age","Female","false"
"United States","d8edaff9faa",22.0,5.0,161.01909132095568,"senior citizen","Female","false"
"Germany","504865bde3a",44.0,5.0,167.8681554143771,"adult","Female","true"
"United Kingdom","82c9e28cb9a",15.5,6.0,163.43345357458284,"adult","Female","false"
"Germany","24694ffd30a",57.0,9.0,178.32467033014115,"senior citizen","Male","true"
"United States","8545172019a",22.0,6.0,159.6492733023973,"young adult","Male","true"
"Netherlands","4778aa49d9a",28.0,6.0,153.66488545603946,"senior citizen","Female","false"
"United States","3d67f13e93a",22.0,3.0,162.29212818964814,"adult","Female","true"
"Sweden","5a44c8a601a",42.0,12.0,163.53445838708436,"senior citizen","Female","false"
"China","c49bf6b474a",57.0,2.0,121.606924258493,"middle age","Female","false"
"China","417ebcc05ca",44.0,6.0,103.30550227887446,"senior citizen","Male","false"
"United Kingdom","401ca1bc68a",22.0,3.0,136.65801192430706,"senior citizen","Female","true"
"United States","acbfefca77a",28.0,6.0,166.19731919493154,"senior citizen","Female","false"
"Germany","9041a1d26ea",22.0,8.0,143.49640010116946,"adult","Female","true"
"Mexico","98cfd2305da",15.5,3.0,101.09477836009961,"adult","Female","false"
"China","74b30fa0fca",22.0,5.0,83.71054894737853,"senior citizen","Male","false"
"Republic of Korea","fb1b469a33a",28.0,4.0,141.6284235090162,"senior citizen","Female","true"
"China","b92e834aeda",10.0,6.0,75.42955707155474,"senior citizen","Male","false"
"Belarus","999a91685ea",44.0,6.0,147.49329432276681,"middle age","Female","false"
"Belarus","999a91685ea",15.5,6.0,124.56595881864618,"middle age","Male","false"
"Canada","237ec6cb0ca",44.0,9.0,169.5493129593698,"middle age","Female","true"
"Mexico","c5fe86169ea",22.0,10.0,116.2889128459579,"adult","Male","false"
"United States","f679daf2aba",28.0,5.0,162.00915186690008,"middle age","Male","true"
"India","99c45df782a",78.0,12.0,155.30215976578938,"adult","Male","false"
"United Arab Emirates","67eb2d6d50a",57.0,8.0,166.67446846763954,"adult","Female","true"
"United States","4a08f4e817a",10.0,9.0,150.78236753965058,"adult","Female","true"
"Angola","3a428786c4a",42.0,10.0,116.01168767457821,"middle age","Female","false"
"Ukraine","1527388185a",44.0,8.0,118.116845249568,"adult","Male","false"
"Italy","07978d6a7ea",15.5,7.0,126.11448423845107,"senior citizen","Male","false"
"United States","b04aed3de2a",15.5,3.0,167.2747790713291,"middle age","Female","false"
"China","2ebb683400a",57.0,2.0,131.8482842994102,"adult","Female","false"
"United States","3f96e2af85a",15.5,6.0,153.93908249624957,"middle age","Female","true"
"United States","1a668b8cb7a",28.0,8.0,172.57709399743965,"adult","Female","true"
"France","0b7c6b3ad5a",22.0,3.0,145.4078248867146,"middle age","Male","false"
"Spain","7597988345a",22.0,4.0,133.0358123580179,"adult","Male","true"
"China","7fb10abae1a",15.5,6.0,80.65771277908064,"adult","Male","true"
"Kazakhstan","fa876c3704a",44.0,13.0,136.37037990056228,"middle age","Female","false"
"Tunisia","d05dee9fcda",28.0,4.0,97.53697299990921,"adult","Female","false"
"United States","ac379d822ba",22.0,5.0,161.01909132095568,"senior citizen","Female","false"
"China","53b09b7fd5a",44.0,5.0,120.73282171233134,"adult","Male","false"
"Japan","40221a1395a",44.0,8.0,158.74352510049127,"middle age","Male","true"
"Israel","dfbb1a957ea",44.0,8.0,160.0991835529512,"adult","Female","true"
"India","cfb3f100ada",44.0,7.0,124.05648766246699,"senior citizen","Male","false"
"Brazil","635de1ab70a",57.0,7.0,152.85287467783263,"adult","Female","false"
"India","7162f5fe2da",22.0,6.0,82.84185614748694,"young adult","Female","false"
"United Kingdom","5973f6068ca",15.5,4.0,137.74610493889722,"senior citizen","Female","false"
"United Kingdom","76f1052961a",44.0,3.0,172.75542424173005,"adult","Female","false"
"United States","28eadc086ba",10.0,5.0,177.17050012668793,"adult","Male","false"
"United States","28eadc086ba",22.0,5.0,181.6879037946684,"adult","Female","false"
"United States","b3820552b2a",28.0,6.0,168.2077585006184,"adult","Female","true"
"Colombia","778c2dcc37a",15.5,7.0,99.20363226840021,"adult","Female","false"
"Japan","e4cbf30bc7a",10.0,6.0,132.12914749043992,"senior citizen","Female","false"
"Germany","5b784086c3a",44.0,3.0,166.65130824398966,"senior citizen","Female","false"
"Republic of Korea","1dd50eae69a",44.0,6.0,167.7968454693296,"young adult","Female","false"
"United States","6ff8659b4ea",28.0,1.0,132.67305069357198,"middle age","Female","false"
"China","ce71e060d3a",15.5,6.0,74.04319052640943,"adult","Female","true"
"Argentina","6dc96d1d42a",10.0,10.0,112.21326104664652,"middle age","Female","false"
"Japan","5e4455b1b2a",44.0,12.0,156.84593029079417,"young adult","Female","true"
"Japan","4658a788eca",22.0,4.0,138.9568825900368,"young adult","Female","false"
"South Africa","3af5754240a",57.0,9.0,147.5144126138381,"adult","Female","false"
"Israel","b213cfc614a",10.0,11.0,156.0772360600127,"adult","Female","false"
"United States","de38a10ba2a",15.5,5.0,150.42192081076388,"middle age","Male","true"
"Vietnam","abf15f0790a",22.0,5.0,79.53125076655903,"adult","Male","false"
"Austria","b916ea9f8ea",15.5,5.0,144.24706360326743,"adult","Female","true"
"Denmark","1c0d273706a",10.0,7.0,170.6677460332189,"adult","Female","false"
"China","1a0630cfa9a",22.0,4.0,84.25212242000526,"middle age","Male","true"
"Chile","199c20b0f4a",15.5,4.0,95.1903825228867,"adult","Female","true"
"India","36bacf9d8aa",102.0,1.0,145.2663107231473,"adult","Female","false"
"China","b086b69523a",22.0,7.0,92.93970722420232,"adult","Female","false"
"India","33723e4ca4a",15.5,10.0,67.48150536695059,"adult","Male","true"
"China","b4a39c236da",22.0,4.0,112.0790031538966,"senior citizen","Female","false"
"United Kingdom","7e641fdc04a",15.5,6.0,130.91830414397418,"senior citizen","Female","true"
"France","0f8a36d312a",15.5,6.0,129.254576350568,"middle age","Male","true"
"Argentina","b8ae3492d4a",22.0,4.0,125.84818935315388,"adult","Female","false"
"France","2c26c3e104a",28.0,3.0,145.31785935107328,"adult","Female","true"
"Ukraine","dbfe6947a7a",78.0,5.0,138.73138352235773,"adult","Female","true"
"France","1207a2e333a",28.0,4.0,143.0660734154093,"young adult","Female","false"
"Japan","111a7dd5c6a",42.0,3.0,165.86812369992924,"adult","Male","false"
"China","3781e3faeaa",44.0,6.0,103.28878946388394,"middle age","Male","true"
"China","fedbc8b083a",22.0,6.0,76.82243645995604,"senior citizen","Female","true"
"Poland","110a4ac267a",28.0,4.0,138.9326172104559,"adult","Male","false"
"China","0a4b26795ca",57.0,8.0,138.10417148470415,"young adult","Female","false"
"United States","0ec8a81e54a",15.5,6.0,181.7072108213313,"adult","Male","false"
"France","06ccc1d57aa",10.0,8.0,128.8962997639539,"adult","Female","true"
"China","ab0f971847a",57.0,3.0,118.89775983554273,"senior citizen","Female","false"
"United States","262e94d9eca",42.0,3.0,181.53197592878607,"senior citizen","Female","false"
"Germany","53b4e8955da",22.0,6.0,144.78173847518903,"adult","Male","true"
"United States","ac8ec159a4a",22.0,14.0,157.92050984283566,"adult","Female","true"
"China","1a46650bcfa",15.5,6.0,96.75347420621918,"adult","Male","false"
"Japan","a0ad236294a",22.0,11.0,139.9338119836301,"senior citizen","Female","false"
"France","c8e7c54aeba",44.0,7.0,157.55486838330083,"senior citizen","Female","true"
"Portugal","8439f10cd7a",44.0,9.0,140.4442185151835,"senior citizen","Male","false"
"United States","b50d7b84d5a",15.5,5.0,157.89053501555375,"adult","Female","true"
"Italy","0f249da820a",10.0,5.0,139.86914020832333,"middle age","Female","false"
"China","b84570d1b7a",44.0,8.0,95.34952931761015,"senior citizen","Female","true"
"China","b84570d1b7a",10.0,8.0,74.1987396085797,"senior citizen","Male","true"
"Republic of Korea","19ddaa539aa",22.0,6.0,161.08130131375069,"middle age","Female","false"
"Australia","6cc29e6a59a",22.0,5.0,149.10107845706932,"adult","Female","true"
"United States","59d2ea3687a",28.0,7.0,161.47094529981692,"middle age","Male","true"
"Brazil","ee567c269ba",57.0,6.0,149.39498447898933,"middle age","Female","false"
"Israel","955816d4b4a",15.5,8.0,125.57158772084995,"senior citizen","Female","true"
"United States","5422c8c476a",22.0,4.0,156.68442341407737,"senior citizen","Female","true"
"New Zealand","9bcacb4309a",28.0,6.0,131.49255732981956,"senior citizen","Female","true"
"United States","675cfafc41a",15.5,5.0,162.07667974375337,"adult","Female","true"
"United States","97bda7bb8ea",10.0,6.0,167.67082053869686,"adult","Female","false"
"Indonesia","4127aee3daa",22.0,9.0,71.870248368294,"young adult","Male","true"
"United States","7948dd58afa",28.0,5.0,161.36410452777488,"senior citizen","Female","true"
